trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.001, 'e': 0.8878078007619501}",20,0,-114.05865280218818,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
121,False,"{'a': 0.001, 'e': 0.8869204367171575}",20,11,-107.44325424559248,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 3}",1
122,False,"{'a': 0.001, 'e': 0.8860339595928756}",20,8,-78.77044483316539,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 1}",1
123,False,"{'a': 0.001, 'e': 0.8851483685026271}",30,0,-123.625525227066,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
124,False,"{'a': 0.001, 'e': 0.8842636625608209}",25,0,-194.3475747735119,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
125,False,"{'a': 0.001, 'e': 0.8833798408827509}",20,0,1.2826862905016732,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.001, 'e': 0.8824969025845955}",20,0,-0.9839977552460496,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.001, 'e': 0.8816148467834161}",25,0,-97.78319889898394,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
128,False,"{'a': 0.001, 'e': 0.880733672597157}",35,0,-156.86061997353679,"{0: 21, 1: 4, 2: 6, 3: 3, 4: 1}",0
129,False,"{'a': 0.001, 'e': 0.8798533791446438}",20,14,11.120672495602186,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.001, 'e': 0.8789739655455832}",25,0,-113.25463727470523,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
131,False,"{'a': 0.001, 'e': 0.8780954309205613}",20,0,-127.63144463494471,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
132,False,"{'a': 0.001, 'e': 0.8772177743910435}",25,0,-125.32473852670434,"{0: 11, 1: 6, 2: 5, 3: 3, 4: 0}",0
